State,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Alabama,56515,43187,45824,47096,46672,45212,43705,43140,43140,43328
Alaska,60203,57301,54400,57140,56657,54884,53030,52305,52305,52546
Arizona,53295,43749,51341,43523,43147,41794,40366,39840,39840,39990
Arkansas,47555,48387,44571,43641,43250,41880,40510,39972,39972,40119
California,47722,56507,57315,58580,58053,56226,54328,53625,53625,53871
Colorado,60275,105548,53792,53685,53203,51542,49827,49131,49131,49345
Connecticut,57704,49688,59502,53542,53079,51383,49688,49020,49020,49225
Delaware,58855,55409,53112,48572,48134,46603,45071,44470,44470,44688
Florida,50654,50466,52206,49478,49008,47503,45904,45292,45292,45480
Georgia,51205,49879,47946,43969,43582,42201,40765,40268,40268,40434
Hawaii,54677,33271,60700,58596,58051,56237,54351,53661,53661,53879
Idaho,37451,47825,45801,39272,38918,37704,36438,35983,35983,36135
Illionis,63414,47439,52304,48006,47601,46060,44519,43952,43952,44114
Indiana,48257,46585,46838,43594,43188,41820,40451,39893,39893,40096
Iowa,64203,53989,48882,47909,47504,45964,44423,43856,43856,44018
Kansas,61000,48054,48054,44932,44551,43104,41657,41124,41124,41352
Kentucky,41448,42901,43308,41680,41332,39995,38657,38192,38192,38309
Louisiana,45234,45837,47975,41176,40792,39531,38216,37722,37722,37887
Maine,31239,51460,51305,36845,36497,35376,34178,33752,33752,33868
Maryland,59680,68466,58178,57541,57040,55219,53398,52670,52670,52897
Massachusetts,35920,65501,59560,58121,57600,55793,53926,53221,53221,53436
Michigan,49559,47213,48837,44206,43785,42402,41018,40477,40477,40657
Minnesota,44670,51030,52115,53200,52707,51080,49354,48713,48713,48910
Mississippi,34447,37798,46084,40358,39986,38729,37426,36960,36960,37100
Missouri,48706,44109,46159,42121,41748,40443,39077,38580,38580,38704
Montana,42296,49336,47083,44267,43873,42465,41057,40550,40550,40719
Nebraska,53549,48007,48076,51470,50985,49392,47730,47106,47106,47314
Nevada,66084,62900,52698,50879,50424,48864,47175,46590,46590,46785
New Hampshire,57968,54938,55103,71083,70422,68218,65958,65077,65077,65352
New Jersey,55663,60387,56109,62482,61903,59986,57981,57223,57223,57446
New Mexico,48591,34596,48050,36578,36218,35137,33935,33515,33515,33635
New York,45111,61697,59128,61584,61017,59128,57126,56408,56408,56634
North Carolina,48149,47692,49575,47807,47350,45867,44327,43756,43756,43984
North Dakota,50814,42290,46814,40913,40520,39274,37963,37438,37438,37635
Ohio,54145,46207,45853,45003,44577,43160,41743,41176,41176,41388
Oklahoma,55965,44786,46613,45736,45298,43910,42449,41864,41864,42083
Oregon,49305,51601,51900,47958,47508,46011,44514,43915,43915,44115
Pennsylvania,43265,48154,49914,59154,58616,56758,54901,54167,54167,54412
Rhode Island,35211,63726,53240,43637,43232,41871,40473,39958,39958,40142
South Carolina,39970,43126,46568,42169,41787,40496,39109,38631,38631,38775
South Dakota,60201,45410,45410,45410,44978,43594,42123,41604,41604,41777
Tennessee,46843,48756,46785,41857,41451,40176,38843,38321,38321,38495
Texas,51982,48979,48160,45757,45321,43901,42427,41881,41881,42099
Utah,70108,51250,47922,53395,52877,51250,49549,48883,48883,49105
Vermont,35261,52649,51977,51417,50970,49365,47686,47089,47089,47276
Virginia,62957,52806,54264,53454,52968,51294,49567,48973,48973,49135
Washington,51780,51132,51271,52935,52473,50809,49098,48451,48451,48682
West Virginia,37134,38879,44823,45314,44878,43514,42042,41497,41497,41660
Wisconsin,56468,50564,51120,46258,45841,44383,42924,42368,42368,42507
Wyoming,53726,42825,47951,46199,45810,44317,42890,42306,42306,42501
