State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2019,49936,68734,62283,49781,70489,73034,72812,65012,54644,55821,80108,58728,70145,59892,68718,63938,54555,49973,58663,86223,86345,60449,71817,42781,61726,57679,67575,61864,81346,74176,48283,67274,53369,66505,61633,54434,69165,64524,62266,57444,59463,56060,59785,77067,70066,77151,79726,50573,62629,62539
2018,51113,72231,61125,48829,69759,74172,72780,62318,53681,57016,73575,60208,64609,58873,63481,57872,51348,43903,51664,81084,73227,57700,71920,43441,56885,59087,59619,56550,74801,72997,47855,62447,50343,59886,59768,55006,64610,63173,66390,54971,56894,55240,59295,71319,63805,71293,75418,45392,63451,57837
2017,47221,75723,57100,45907,66637,70566,75923,58046,51176,53527,72133,56564,61386,56094,59094,56810,45369,42196,50856,73760,72266,57091,70218,41099,55016,57075,59374,55431,76260,68468,48451,61437,53764,60184,53985,50943,59135,60979,61528,54336,57450,51344,58146,67481,60837,66451,70310,44354,59817,57829
2016,44509,75112,52248,42798,63636,66596,72889,57756,48825,50768,64514,51624,60413,51983,60855,54865,42387,45922,50756,73594,67861,54203,68730,40037,59196,51395,60474,52008,75675,68357,45119,58005,50797,57415,53301,47077,60834,60389,55701,46360,55065,47330,56473,66258,59494,61486,67243,42824,55425,60925
2015,42278,67629,49254,44922,60487,60940,70161,57522,46140,49555,71223,53438,54916,48060,57810,53444,42786,42406,51710,76165,63151,52005,67244,35521,56630,51102,56870,49875,73397,65243,46686,54310,46784,60730,49644,47199,58875,55173,58633,44929,53053,43716,53875,63383,60708,66155,59068,39552,58080,55690
2014,41381,61137,50602,39919,57528,63371,67781,52219,47886,47439,61408,51767,57196,50553,54855,51485,42158,39622,50121,65262,62963,48801,60907,40850,50311,44132,53774,45369,71322,61782,42127,53843,41208,52888,46398,43777,56307,53952,57812,43749,54453,42499,53027,62967,54842,67620,60106,40241,55258,55700
2013,43464,63648,47044,39018,57020,57255,64247,48972,46071,48121,56263,47922,51738,46158,53442,50003,41086,39085,49158,71836,63656,50015,61795,36641,49764,45088,52196,47333,67819,66692,43424,47680,41553,55766,44375,48407,51775,51904,56065,44401,49415,42995,51926,58341,55582,64632,62187,43553,53079,57512
2012,42590,57431,48621,41302,53367,58629,65415,54660,45105,45973,59047,47459,50637,44445,50219,46147,39856,40658,49693,68876,63313,48879,57820,41090,45774,40277,55616,47043,65880,62338,41982,50636,45206,56361,44648,48455,51526,49910,49033,40084,47223,42279,49047,55493,51862,62616,56850,41821,52058,54509
2011,40933,57848,46896,38587,54283,60233,65998,55214,44066,44117,59539,47050,50728,46139,49016,46054,41104,39300,47931,64201,60934,46276,52321,38160,45817,41280,52504,51200,66633,62968,45134,49781,43830,51006,45886,43103,50602,48314,51623,41698,45352,38591,47266,56701,55928,60367,56163,42777,50351,52201
2010,39980,61604,45739,36538,56134,55930,64851,52114,45631,43340,55649,46778,52870,44305,50721,44717,42664,45433,47502,64186,59373,45994,56090,35078,48769,40437,49595,51434,64131,64777,43542,50216,41906,50075,45879,45878,49098,48172,51634,41101,45826,40517,47475,58491,52318,60501,60392,40490,51237,52470
