State,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Alabama,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Alaska,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Arizona,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Arkansas,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
California,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Colorado,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Connecticut,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Delaware,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Florida,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Georgia,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Hawaii,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Idaho,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Illinois,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Indiana,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Iowa,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Kansas,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Kentucky,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Louisiana,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Maine,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Maryland,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Massachussets,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Michigan,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Minnesota,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Mississipi,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Missouri,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Montana,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Nebraska,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Nevada,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
New Hampshire,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
New Jersey,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
New Mexico,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
New York,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
North Carolina,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
North Dakota,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Ohio,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Oklahoma,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Oregon,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Pennsylvania,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Rhode Island,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
South Carolina,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
South Dakota,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Tennessee,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Texas,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Utah,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Vermont,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Virginia,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Washington,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
West Virginia,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Wisconsin,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
Wyoming,26370,25701,25094,24563,24257,24230,23834,23492,23021,22314
