,Date,State,Average_Job_Created
0,2008-01,ALABAMA,2002
1,2008-02,ALABAMA,2012
2,2008-03,ALABAMA,2020
3,2008-04,ALABAMA,2025
4,2008-05,ALABAMA,2029
5,2008-06,ALABAMA,2028
6,2008-07,ALABAMA,2005
7,2008-08,ALABAMA,2007
8,2008-09,ALABAMA,2009
9,2008-10,ALABAMA,1999
10,2008-11,ALABAMA,1989
11,2008-12,ALABAMA,1983
12,2009-01,ALABAMA,1922
13,2009-02,ALABAMA,1918
14,2009-03,ALABAMA,1918
15,2009-04,ALABAMA,1918
16,2009-05,ALABAMA,1917
17,2009-06,ALABAMA,1912
18,2009-07,ALABAMA,1890
19,2009-08,ALABAMA,1888
20,2009-09,ALABAMA,1891
21,2009-10,ALABAMA,1888
22,2009-11,ALABAMA,1896
23,2009-12,ALABAMA,1896
24,2010-01,ALABAMA,1858
25,2010-02,ALABAMA,1864
26,2010-03,ALABAMA,1879
27,2010-04,ALABAMA,1891
28,2010-05,ALABAMA,1907
29,2010-06,ALABAMA,1907
30,2010-07,ALABAMA,1888
31,2010-08,ALABAMA,1886
32,2010-09,ALABAMA,1891
33,2010-10,ALABAMA,1897
34,2010-11,ALABAMA,1904
35,2010-12,ALABAMA,1903
36,2011-01,ALABAMA,1858
37,2011-02,ALABAMA,1873
38,2011-03,ALABAMA,1886
39,2011-04,ALABAMA,1894
40,2011-05,ALABAMA,1897
41,2011-06,ALABAMA,1896
42,2011-07,ALABAMA,1881
43,2011-08,ALABAMA,1886
44,2011-09,ALABAMA,1899
45,2011-10,ALABAMA,1894
46,2011-11,ALABAMA,1905
47,2011-12,ALABAMA,1904
48,2012-01,ALABAMA,1870
49,2012-02,ALABAMA,1882
50,2012-03,ALABAMA,1901
51,2012-04,ALABAMA,1909
52,2012-05,ALABAMA,1912
53,2012-06,ALABAMA,1916
54,2012-07,ALABAMA,1892
55,2012-08,ALABAMA,1903
56,2012-09,ALABAMA,1911
57,2012-10,ALABAMA,1914
58,2012-11,ALABAMA,1927
59,2012-12,ALABAMA,1926
60,2013-01,ALABAMA,1885
61,2013-02,ALABAMA,1903
62,2013-03,ALABAMA,1917
63,2013-04,ALABAMA,1926
64,2013-05,ALABAMA,1934
65,2013-06,ALABAMA,1935
66,2013-07,ALABAMA,1915
67,2013-08,ALABAMA,1923
68,2013-09,ALABAMA,1927
69,2013-10,ALABAMA,1929
70,2013-11,ALABAMA,1942
71,2013-12,ALABAMA,1947
72,2014-01,ALABAMA,1905
73,2014-02,ALABAMA,1915
74,2014-03,ALABAMA,1930
75,2014-04,ALABAMA,1944
76,2014-05,ALABAMA,1950
77,2014-06,ALABAMA,1953
78,2014-07,ALABAMA,1934
79,2014-08,ALABAMA,1945
80,2014-09,ALABAMA,1953
81,2014-10,ALABAMA,1959
82,2014-11,ALABAMA,1966
83,2014-12,ALABAMA,1974
84,2015-01,ALABAMA,1932
85,2015-02,ALABAMA,1945
86,2015-03,ALABAMA,1953
87,2015-04,ALABAMA,1969
88,2015-05,ALABAMA,1978
89,2015-06,ALABAMA,1979
90,2015-07,ALABAMA,1965
91,2015-08,ALABAMA,1972
92,2015-09,ALABAMA,1977
93,2015-10,ALABAMA,1985
94,2015-11,ALABAMA,1993
95,2015-12,ALABAMA,2000
96,2016-01,ALABAMA,1962
97,2016-02,ALABAMA,1974
98,2016-03,ALABAMA,1984
99,2016-04,ALABAMA,2001
100,2016-05,ALABAMA,2003
101,2016-06,ALABAMA,2003
102,2016-07,ALABAMA,1991
103,2016-08,ALABAMA,1998
104,2016-09,ALABAMA,2007
105,2016-10,ALABAMA,2005
106,2016-11,ALABAMA,2013
107,2016-12,ALABAMA,2016
108,2017-01,ALABAMA,1984
109,2017-02,ALABAMA,1999
110,2017-03,ALABAMA,2010
111,2017-04,ALABAMA,2016
112,2017-05,ALABAMA,2023
113,2017-06,ALABAMA,2028
114,2017-07,ALABAMA,2011
115,2017-08,ALABAMA,2019
116,2017-09,ALABAMA,2024
117,2017-10,ALABAMA,2030
118,2017-11,ALABAMA,2039
119,2017-12,ALABAMA,2037
120,2018-01,ALABAMA,2001
121,2008-01,ALASKA,300
122,2008-02,ALASKA,306
123,2008-03,ALASKA,308
124,2008-04,ALASKA,312
125,2008-05,ALASKA,327
126,2008-06,ALASKA,341
127,2008-07,ALASKA,346
128,2008-08,ALASKA,345
