DATE,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRCT OF COLUMIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHAGIN,MISSISSIPPI,MISSOURI,MINNESOTA,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW MEXICO,NEW JERSEY,NORTH CAROLINA,NORTH DAKOTA,NEW YORK,OHIO,OKLAHOMA,OREGON,PANANPENNSYLVANIA,PUERTO RICO,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGININA,WISCONSIN,WYOMING
1/1/08,2002.6,300.2,2650.4,1191.8,15243.3,2313.6,1686.4,430.7,689,7853.2,4131.3,31.8,6.8,5868.3,2931.2,1496,1367.3,1828.9,1913.2,599.5,2562.2,3252.6,4145.8,1148.7,2757.8,2716.5,432.7,953.4,1269,639.3,834,4004.5,4108.8,356.9,8620.7,5315.7,1592,1702.6,5713,473.4,1916.5,399.6,2762.5,10479.7,1244.3,307,3722.2,2951.2,716.2,2818.9,287.3
2/1/08,2012.3,306,2673.3,1198.9,15335.8,2330,1693.3,431.8,693.7,7909.9,4150.7,31.6,6,5875.8,2942.1,1499.8,1378.4,1829.8,1931.2,600,2573.9,3265.3,4159.1,1155.2,2771.3,2719.2,435.5,954.9,1272.8,639.1,843.3,4006.9,4128.4,359,8664.7,5324.8,1606.9,1714.2,5733.1,475.4,1927.8,401.1,2771.7,10568.7,1247.8,308.4,3732.3,2971,720,2814.6,289.2
3/1/08,2020.5,308.4,2672.3,1206.6,15388.8,2342.6,1699.2,434.9,698.3,7931.3,4151.7,31.6,5.7,5904.8,2955.8,1509.5,1390.6,1838.3,1940.2,601.7,2593.7,3280.8,4159.4,1159.3,2792.7,2726.7,439.2,961.2,1275.6,640.4,847.6,4032.7,4149.2,361.6,8704.8,5324.7,1618.2,1721.3,5761.6,477.3,1942.9,403.5,2789.9,10614.6,1253.1,306.6,3752.2,2983.5,724.1,2827.4,291
4/1/08,2025.8,312.9,2661.8,1207.1,15400.5,2348.1,1712.2,439.7,701.3,7847.6,4157.4,31.8,5.6,5961.6,2981.6,1529.5,1400.8,1852.6,1942.5,609.5,2614.2,3320.3,4173.1,1163.4,2820.4,2744.7,441.4,969.6,1280.8,643.8,848.9,4051.9,4150.3,365.9,8770.5,5383.7,1622.2,1728,5827.7,483.9,1946.6,407.1,2797,10642.1,1259,304.5,3777.6,2994.3,728.9,2855.8,291.6
5/1/08,2029.6,327.2,2655,1212.8,15437,2358.8,1720.6,441.8,702.7,7816.4,4168,31.9,5.6,6010.5,3010.2,1546.5,1407.3,1868.9,1948.2,622.9,2628.7,3347.4,4226,1162.3,2839.3,2789.4,449.8,979.8,1286.1,653,852.8,4082.9,4176,371.8,8833.9,5434.3,1632.2,1735.2,5863,489.1,1960.3,416.6,2805.3,10696.8,1256.5,308.6,3794.6,3015.5,744.4,2898,300.3
6/1/08,2028.3,341,2605.5,1209.4,15463,2378,1726.6,443.6,704.1,7675.1,4140.8,32.1,5.4,6021,2986.6,1544.6,1406.4,1861.8,1943.5,633.6,2628.8,3363.9,4244.2,1153.6,2839.1,2811.6,454,979.4,1279.4,658.4,850.2,4126.9,4157.6,371.2,8876.3,5427.7,1618,1740.1,5856.7,489.3,1953.2,420.9,2784.3,10706.8,1261.3,309,3819.8,3028.3,731.9,2919.1,307.7
7/1/08,2005.3,346.2,2563.4,1190.8,15253.4,2362.2,1692.8,439.8,720.1,7564.9,4100.7,32.6,5.3,5968.5,2930.5,1515.2,1376.6,1838.7,1922.5,632.1,2613.7,3335.7,4112.8,1130.5,2779.5,2772.5,452.4,966.6,1265,652.2,841.7,4061.2,4065.5,363,8804,5368,1603.7,1717.8,5784.5,479.1,1918.7,416.6,2758.6,10605.6,1242.7,301.7,3799.8,3013.5,727.5,2887.6,305.3
8/1/08,2007.6,345.4,2601.6,1200.2,15241.1,2368.2,1688.5,438.2,715.9,7638.9,4127.9,32.4,5.6,5970.1,2967.7,1514.7,1371.5,1849,1940.7,629.9,2608.5,3323.9,4147.8,1144.9,2791,2776.6,453.3,969.4,1260.4,652.8,846.8,4032,4133.9,364,8765.6,5371.7,1615.1,1718.6,5778.3,480.1,1919.8,420.2,2778.8,10647.6,1252.2,301.5,3793.3,3009.2,729.5,2886.3,305.1
9/1/08,2009.6,337.2,2607.5,1211.2,15268.9,2359.8,1704.2,436.3,705.2,7610.7,4103.9,32.4,5.5,5970.4,2986.5,1534.3,1396.9,1838.3,1925.4,625.7,2604.7,3336.5,4180.4,1149,2814.2,2775,450.3,972.5,1261.4,654.8,854.7,4027.3,4153.1,373.7,8779.9,5375.5,1626.9,1724.3,5820.2,484.3,1923.4,415.2,2779.3,10641.9,1261.3,309.2,3774.8,3015,736.7,2889.5,306.8
10/1/08,1999.8,319,2600.5,1204.9,15241.2,2350.7,1707.6,435.4,706,7582.2,4094,32.5,5.5,5967,2978.4,1540.7,1404.9,1835.2,1953.2,624.9,2606,3346.2,4168.8,1145.6,2811.9,2785,447.1,978.2,1252.4,653.5,852.2,4024.7,4129.2,374.9,8840.7,5370,1629.2,1724.1,5846.2,482.6,1912.5,414.7,2766.1,10697.3,1254.8,311.9,3772.8,2990.4,738.9,2889.6,304.3
