,State,Year,Unemployment Rate,Latitude,Longitude
0,Alabama,2020-12-31,2.9159074644338228,32.806671,-86.79113000000001
1,Alaska,2020-12-31,6.181988812290581,61.370716,-152.404419
2,Arizona,2020-12-31,4.510437110677613,33.729759,-111.431221
3,Arkansas,2020-12-31,3.2850587332193637,34.969704,-92.37312299999999
4,California,2020-12-31,3.6466898063976934,36.116203000000006,-119.681564
5,Colorado,2020-12-31,2.7435904244306752,39.059810999999996,-105.311104
6,Connecticut,2020-12-31,3.3728997058935763,41.597782,-72.755371
7,Delaware,2020-12-31,3.1282597856544663,39.318523,-75.507141
8,Florida,2020-12-31,2.897206668358143,27.766278999999997,-81.68678299999999
9,Georgia,2020-12-31,3.2069835286455897,33.040619,-83.643074
10,Hawaii,2020-12-31,2.458298773700249,21.094317999999998,-157.49833700000002
11,Idaho,2020-12-31,2.5425422759200007,44.240459,-114.47882800000001
12,Illinois,2020-12-31,3.7104990384325465,40.349457,-88.986137
13,Indiana,2020-12-31,3.0158084754639147,39.849426,-86.258278
14,Iowa,2020-12-31,2.2474402634009647,42.011539,-93.210526
15,Kansas,2020-12-31,3.0709234950802617,38.5266,-96.726486
16,Kentucky,2020-12-31,3.833508207442174,37.66814,-84.670067
17,Louisiana,2020-12-31,4.291589170443704,31.169546,-91.867805
18,Maine,2020-12-31,2.8074247101599985,44.693946999999994,-69.381927
19,Maryland,2020-12-31,3.4283346049491423,39.063946,-76.80210100000001
20,Massachusetts,2020-12-31,2.632866433259188,42.230171,-71.530106
21,Michigan,2020-12-31,3.6432963178627777,43.326617999999996,-84.53609499999999
22,Minnesota,2020-12-31,2.9520343605948667,45.694454,-93.900192
23,Mississippi,2020-12-31,4.7878095624527575,32.741646,-89.678696
24,Missouri,2020-12-31,2.8540945108778324,38.456084999999995,-92.288368
25,Montana,2020-12-31,3.231225802431668,46.921925,-110.454353
26,Nebraska,2020-12-31,2.8526634091066585,41.125370000000004,-98.26808199999999
27,Nevada,2020-12-31,3.5751564601222836,38.313515,-117.055374
28,New Hampshire,2020-12-31,2.2504308132874944,43.452492,-71.563896
29,New Jersey,2020-12-31,3.2267795053255375,40.298904,-74.521011
30,New Mexico,2020-12-31,4.689159543367231,34.840515,-106.24848200000001
31,New York,2020-12-31,3.631593182537741,42.165726,-74.948051
32,North Carolina,2020-12-31,3.5906886089616763,35.630066,-79.80641899999999
33,North Dakota,2020-12-31,2.2848874717679584,47.528912,-99.784012
34,Ohio,2020-12-31,3.843946428771851,40.388783000000004,-82.764915
35,Oklahoma,2020-12-31,3.0101323761596626,35.565342,-96.928917
36,Oregon,2020-12-31,3.703655199262272,44.572021,-122.07093799999998
37,Pennsylvania,2020-12-31,3.6971013552359553,40.590752,-77.209755
38,Rhode Island,2020-12-31,3.2333211084588687,41.680893,-71.51178
39,South Carolina,2020-12-31,2.670871955744268,33.856891999999995,-80.94500699999999
40,South Dakota,2020-12-31,2.7691067049512768,44.299782,-99.438828
41,Tennessee,2020-12-31,2.9652386705128766,35.747845,-86.69234499999999
42,Texas,2020-12-31,3.2380203124520794,31.054486999999998,-97.563461
43,Utah,2020-12-31,2.4700719935762816,40.150032,-111.86243400000001
