,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-12-31,2.9159074644338228,6.181988812290581,4.510437110677613,3.285058733219363,3.6466898063976925,2.7435904244306752,3.372899705893576,3.128259785654466,2.897206668358143,3.2069835286455897,2.458298773700249,2.5425422759200007,3.7104990384325465,3.0158084754639147,2.2474402634009647,3.0709234950802626,3.833508207442174,4.291589170443704,2.8074247101599985,3.4283346049491423,2.632866433259188,3.6432963178627777,2.9520343605948667,4.7878095624527575,2.854094510877832,3.2312258024316676,2.852663409106659,3.5751564601222836,2.2504308132874944,3.2267795053255375,4.689159543367232,3.6315931825377397,3.5906886089616763,2.2848874717679584,3.843946428771851,3.0101323761596626,3.703655199262271,3.697101355235955,3.233321108458869,2.6708719557442677,2.7691067049512768,2.965238670512876,3.2380203124520794,2.470071993576282,1.9905527062551243,2.529520094668664,4.179164792075301,4.590514726684379,2.719660933161026,3.498161509294128
2021-12-31,2.5609988979340037,6.046991404317397,4.15184549579139,3.0144164471231294,3.235607431650817,2.47608171612753,3.0581861360260656,2.836524430882006,2.528254963608098,2.8410893240342876,2.2217767870500533,2.2524464198050365,3.3336085022297475,2.675029635494113,2.036688603853144,2.840533467661436,3.490685315089436,4.038977545585456,2.5261645843644045,3.159537140723602,2.357818250130259,3.237465380427429,2.6896626130039283,4.451091341031862,2.5297687816841514,2.966142098380731,2.7216349584133845,3.125120712556016,2.0421124376587967,2.9084094904996944,4.4600846294425995,3.330421475619844,3.223261171631786,2.17529614943424,3.484887770582041,2.770916489909669,3.337484631392322,3.400138913156104,2.85638398644964,2.323634203251209,2.60814691952589,2.640432544475968,2.9618010010882094,2.2026193694765053,1.7768161777486993,2.2851685390473433,3.8470084491898144,4.318201937685686,2.425100193889282,3.298418853128566
2022-12-31,2.249287892437518,5.91494196352966,3.8217628575545244,2.766071250050814,2.870865362166824,2.234655949498476,2.772837397518848,2.5719957414940864,2.2062882951430565,2.516941067842212,2.008011452588539,1.9954495632748979,2.995000276521554,2.3727579549530255,1.8456999888344587,2.6274280013263005,3.1785203812335467,3.801235152258742,2.2730823320755404,2.911814654614192,2.11150358044009,2.876840414565718,2.450610016047828,4.138053919600591,2.242297886209577,2.7228053641950645,2.596624902612502,2.731734842092073,1.8530777233487892,2.621451434927009,4.242200487703102,3.0542262438985617,2.89343179317168,2.0709612163447413,3.159368372735737,2.5507111430922893,3.0075163765241104,3.127029398960186,2.5233897915987726,2.021540530577143,2.4565432388969914,2.351205011339596,2.7091445771086238,1.9641257823294473,1.5860297090293964,2.0644213354374568,3.5412516003679015,4.062042948308025,2.162442706990791,3.1100813675321954
2023-12-31,1.975516673258789,5.785776114539307,3.5179226573312734,2.538186177845368,2.5472397692832054,2.0167699555727165,2.514113559833881,2.332136477388547,1.9253232412677619,2.229775841751828,1.8148132689244347,1.767775217453843,2.690785870735699,2.1046422208152222,1.6726211568811593,2.4303103556941865,2.894271726598823,3.577486757399901,2.0453549702874927,2.683514769788137,1.890920714505884,2.5563858754795348,2.232804003639235,3.847031869166767,1.9874938163924616,2.499431519257512,2.477356804969172,2.3878678405981897,1.6815416161454664,2.362806079449352,4.034960426326601,2.8009361629469334,2.597353145137275,1.9716305573930966,2.864255371120818,2.34800556393068,2.7101712079756566,2.8758568728254694,2.2292157043841345,1.7587217949572898,2.3137518210314227,2.0936588654437944,2.478041008487887,1.7514556270011088,1.415729026685869,1.8649983042327716,3.259796037034765,3.8210795029984466,1.9282330984924048,2.932497824979507
2024-12-31,1.7350674137556552,5.659430887737355,3.2382385522695034,2.329075606164131,2.2600956936972945,1.820128532364733,2.279530345845899,2.11464601648477,1.6801383534174306,1.975374142837008,1.6402033946661307,1.5660777786411382,2.4174717641628805,1.8668228962805127,1.5157726344318603,2.2479810757946215,2.635442854746893,3.3669086459349087,1.8404423348184853,2.4731146634830083,1.6933815228493263,2.2716271334563363,2.0343562158076542,3.5764768874285764,1.76164446949359,2.2943828455783692,2.36356692603242,2.087286341377224,1.5258843011286352,2.1296799531356863,3.8378444604905737,2.5686516853741117,2.3315715879237993,1.8770641498093177,2.5967085388939775,2.1614090420155265,2.4422237677153125,2.644859289051665,1.9693361181129048,1.5300718958005377,2.1792604357861673,1.8643237929958136,2.2666517289754236,1.561812813085571,1.2637144598177081,1.6848395310999174,3.0007103143881673,3.594410190644713,1.719390238687813,2.7650541825962436
2025-12-31,1.5238843442969876,5.5358446885955725,2.9807900692619036,2.1371927822228085,2.0053206636713474,1.642660267312151,2.0668352777094383,1.9174382881923808,1.4661771208690484,1.7499978836990846,1.4823933800465945,1.3873933657052198,2.1719192872552555,1.6558765625861376,1.3736324390256098,2.07933069341973,2.399760525871034,3.1687255883262124,1.656058746280122,2.279210909361815,1.516478697350789,2.0185879928972286,1.853546126775908,3.3249495614605475,1.5614595684782444,2.1061559804799486,2.2550036404238742,1.8245416253055693,1.3846359067627154,1.9195552027041576,3.6503580076812265,2.3556307951814905,2.092986885434167,1.7870334831683692,2.354152951566716,1.9896413870015845,2.2007675803067412,2.432416134816247,1.7397530164876787,1.3311485722365226,2.0525866274049362,1.660109611215744,2.0732950112082045,1.3927040031809594,1.128022528216982,1.5220840893604866,2.7622164971604035,3.381187072520277,1.5331667085303813,2.60717145894095
2026-12-31,1.3384053417076578,5.414957267638619,2.743809417864936,1.9611183837470436,1.7792657962941518,1.4824957171020903,1.873986048472211,1.7386217647612638,1.279463292643356,1.5503354663501692,1.33976684864335,1.2290962667722871,1.9513085779452106,1.4687666387556835,1.2448213107176713,1.9233329760434292,2.185154791406738,2.982207986615926,1.4901475146741674,2.100510116274923,1.3580564146284038,1.7937351711718224,1.6888061281450628,3.091111709715328,1.3840227277488875,1.9333708943387993,2.151426880414549,1.594870850482447,1.2564626249044701,1.7301623987225643,3.472030646739435,2.1602759435245082,1.8788160420586573,1.7013210072171931,2.134254205414524,1.8315241455537272,1.983183525832338,2.237037061822623,1.5369344676815857,1.1580870978878028,1.9332759838232427,1.4782646295696762,1.8964325875699786,1.2419058316241383,1.0069005812820895,1.3750508177902865,2.542677958815487,3.180612510262124,1.3671126561354605,2.458303732020874
2027-12-31,1.175501845278151,5.296709691071755,2.5256693516254556,1.7995500205042627,1.578693538252545,1.3379477150331516,1.6991309117582203,1.576481318598916,1.1165269829415045,1.3734531227790268,1.2108629415677183,1.0888603552069642,1.75310619906801,1.30279966989354,1.1280893284058295,1.7790386822272313,1.9897408141067285,2.806669188458689,1.3408579982306943,1.9358203009868458,1.216184064131783,1.593928962036891,1.5387079378603101,2.8737192625989816,1.2267489659000808,1.7747607725732721,2.05260760505922,1.3941107149542886,1.140154115656899,1.5594560248834741,3.302414937529762,1.9811220679050217,1.686560840138621,1.6197196061859214,1.9348959507062393,1.6859725162842343,1.787111429815138,2.0573514310889256,1.357760288708433,1.0075251961100318,1.8209005065735422,1.3163385720274474,1.734657412358093,1.1074356726909214,0.8987841600900992,1.2422209552825372,2.340588150455413,2.991936182015335,1.2190435679087266,2.3179362516198205
2028-12-31,1.0324260858741847,5.181044312050108,2.3248719944637823,1.6512926007605038,1.4007312976572914,1.2074935984716624,1.5405909012214998,1.4294617715386992,0.974340186861424,1.2167518072152455,1.0943613545496311,0.9646249079048703,1.5750360450150085,1.1555865547930977,1.022303781198475,1.6455697855145268,1.8118023139099324,2.6414629592559926,1.2065249605924755,1.7840429373215776,1.0891327207882024,1.4163793947131311,1.4019502171245999,2.6716156437429324,1.0873470465218873,1.6291627276938396,1.9583272937145455,1.2186219874558717,1.0346120781334038,1.405592385628609,3.1410852982710353,1.816825604944177,1.5139786992516444,1.5420320983129763,1.7541595235288596,1.551987907211789,1.610424461969796,1.8920986975312168,1.1994740441825642,0.8765377169368171,1.715057075442846,1.1721495607397854,1.5866824678986067,0.9875255739354357,0.8022767902271689,1.1222224530020275,2.154560262363857,2.8144522755822163,1.0870115303156047,2.1855836594107707
2029-12-31,0.9067647380351599,5.067904742575236,2.140038555388677,1.5152494914046934,1.2428303028391874,1.089759169186905,1.3968437090409442,1.2961529782709869,0.8502605080193477,1.077929006682057,0.9890688146596698,0.8545643236075162,1.4150532035168988,1.0250081547285792,0.926438177134074,1.5221141316658873,1.6497764942129332,2.48598110308579,1.0856499960872208,1.6441656286921176,0.9753540754855478,1.2586072764524523,1.2773472878997707,2.4837256167593793,0.9637860984153236,1.4955092733194002,1.8683774628208536,1.0652235381173398,0.938839879205977,1.2669096935162067,2.9876369377115943,1.6661544143371898,1.3590565174033722,1.4680707593747397,1.590305480180399,1.428651084680883,1.4512060660811645,1.7401195668862814,1.0596406410120243,0.7625798066184533,1.6153660023751384,1.0437547162553433,1.451330525555729,0.880599011956053,0.7161319443732584,1.013815801984638,1.983317707241312,2.6474968480759276,0.969279604227848,2.0607883106989116
