State,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Alabama,55066,53654,52278,50937,49631,48358,47118,45910,44733,43586
Alaska,59327,58463,57612,56774,55947,55133,54331,53540,52760,51993
Arizona,51866,50475,49122,47805,46523,45276,44062,42880,41731,40612
Arkansas,46681,45824,44982,44156,43345,42548,41767,40999,40246,39507
California,48480,49250,50032,50827,51634,52454,53287,54133,54993,55866
Colorado,61564,62881,64227,65600,67004,68437,69901,71396,72924,74484
Connecticut,56972,56249,55535,54830,54135,53448,52769,52100,51439,50786
Delaware,57128,55452,53825,52245,50712,49224,47780,46378,45017,43696
Florida,50052,49457,48869,48288,47713,47146,46586,46032,45484,44944
Georgia,49881,48592,47336,46112,44920,43759,42628,41526,40453,39407
Hawaii,56346,58067,59840,61667,63550,65490,67489,69550,71673,73862
Idaho,37519,37588,37657,37726,37794,37864,37933,38002,38072,38141
Illionis,61182,59028,56950,54945,53011,51145,49344,47607,45931,44315
Indiana,47271,46305,45359,44432,43524,42635,41764,40911,40075,39256
Iowa,61649,59197,56842,54581,52409,50325,48323,46400,44555,42782
Kansas,58518,56138,53854,51663,49561,47545,45611,43755,41975,40267
Kentucky,41103,40761,40422,40086,39753,39422,39094,38769,38446,38127
Louisiana,44400,43581,42777,41988,41214,40454,39708,38976,38257,37551
Maine,32154,33096,34065,35063,36090,37147,38235,39355,40508,41694
Maryland,59024,58375,57734,57099,56472,55851,55237,54630,54030,53436
Massachusetts,38464,41189,44107,47231,50576,54159,57995,62103,66503,71213
Michigan,48501,47466,46453,45461,44491,43541,42612,41702,40812,39941
Minnesota,45197,45729,46268,46814,47366,47924,48489,49061,49639,50224
Mississippi,34877,35312,35753,36199,36651,37108,37571,38040,38515,38996
Missouri,47502,46328,45182,44065,42976,41913,40877,39867,38881,37920
Montana,42195,42095,41994,41894,41794,41694,41595,41496,41397,41298
Nebraska,52871,52201,51539,50886,50242,49605,48977,48356,47744,47139
Nevada,63676,61355,59119,56965,54889,52888,50961,49104,47314,45590
New Hampshire,59057,60167,61297,62449,63622,64817,66035,67275,68539,69827
New Jersey,55936,56211,56487,56764,57043,57323,57605,57887,58172,58457
New Mexico,47348,46137,44957,43807,42687,41595,40531,39495,38484,37500
New York,46479,47889,49341,50837,52379,53968,55604,57291,59028,60818
North Carolina,47694,47243,46796,46353,45915,45481,45051,44625,44203,43785
North Dakota,49330,47889,46491,45133,43815,42535,41293,40087,38917,37780
Ohio,52644,51185,49766,48386,47045,45741,44473,43240,42041,40876
Oklahoma,54333,52750,51212,49719,48269,46862,45496,44170,42882,41632
Oregon,48719,48140,47567,47002,46443,45891,45345,44806,44274,43747
Pennsylvania,44495,45761,47062,48401,49777,51193,52649,54146,55686,57270
Rhode Island,36688,38227,39830,41501,43242,45056,46946,48915,50967,53105
South Carolina,39900,39830,39761,39691,39622,39553,39484,39415,39346,39277
South Dakota,57989,55858,53806,51829,49924,48090,46323,44621,42981,41402
Tennessee,45845,44868,43912,42976,42061,41164,40287,39429,38589,37766
Texas,50790,49626,48488,47377,46291,45230,44193,43180,42190,41223
Utah,67827,65620,63484,61419,59420,57486,55616,53806,52055,50361
Vermont,36744,38289,39899,41577,43325,45147,47045,49023,51085,53233
Virginia,61336,59757,58219,56720,55259,53837,52451,51100,49785,48503
Washington,51440,51102,50766,50433,50102,49773,49446,49121,48798,48478
West Virginia,37675,38224,38780,39345,39918,40500,41090,41688,42296,42912
Wisconsin,54780,53143,51555,50014,48519,47069,45662,44298,42974,41689
Wyoming,52537,51374,50237,49125,48038,46975,45936,44919,43925,42953
