,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illionis,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-12-31,54453.425233311376,59401.937847732996,51686.21483446578,46927.60818680618,48053.79691135743,62743.93673012541,57290.18997060051,57143.18635284518,49995.96250827999,49848.82083910641,55215.99954298211,37686.62613419259,60877.48042508686,47284.57693386069,61690.74391429202,58521.56024886038,41094.38046427586,44522.69447337476,33861.404753071576,58883.7164879587,38687.550161047366,48453.23436367207,45266.17852893245,35520.22641184634,47434.65403561541,42711.164371514365,52841.24242155188,63549.320470472936,59551.88462348489,55763.274629033345,48981.32747279536,47279.64461485529,47629.53724208355,49275.21324475044,52731.33184746463,53989.381712659764,48942.990950981155,44646.20238329599,38801.59319826313,39959.35589644227,57491.66842170927,46024.39281794039,50610.71858675413,68885.3079596168,36694.12414906599,61189.78804867657,51186.485665835506,38066.31265730841,54918.0739812488,52411.893886584345
2021-12-31,52467.05334229555,58611.53464222603,50125.9931309607,46308.49353662915,48387.90070822649,65314.00408783043,56879.347477947755,55481.16127017236,49346.47346960437,48528.56047357346,55760.31248112735,37923.73473013827,58442.42001619253,46331.74908954538,59276.79212340167,56143.81990099995,40743.77788415988,43822.574239940644,36703.95121006878,58098.05743019939,41668.33344831726,47372.140686876875,45870.313826129066,36626.890131181994,46196.4933166042,43130.40386728102,52142.83928090557,61111.85963711139,61179.04640851605,55863.72989872979,49374.790413805385,49552.54361257821,47115.678786579614,47783.025156760545,51354.57306136187,52083.50464960744,48583.63985859086,46071.498607424546,42758.33218947202,39948.71462743396,54904.26966182897,45220.091246506076,49275.61147835055,67683.93981701438,38185.495223251375,59472.18198837238,50599.77433021984,39022.0326203468,53410.69012201452,51129.93002975423
2022-12-31,50553.141049046324,57831.64855535038,48612.86893250381,45697.54684908378,48724.32742969791,67989.34450564886,56471.451241082534,53867.47663807183,48705.421832474734,47243.26758376928,56309.99119327081,38162.335114870526,56104.76047135431,45398.1216052581,56957.29799145667,53862.68752356618,40396.16652006406,43133.46341074545,39785.11949681904,57322.88106938681,44878.778964616424,46315.168486250535,46482.51208488284,37768.03292656559,44990.6516267347,43553.75848745127,51453.666940378855,58767.888636059455,62850.667835612345,55964.36613450606,49771.41400998618,51934.70886845372,46607.36417062528,46336.02460106765,50013.75997753328,50244.906878598136,48226.92720747875,47542.29633488535,47118.55418625127,39938.07619222022,52433.316163086725,44429.84528728528,47975.72439923493,66503.5236808239,39737.480571043154,57802.789374665655,50019.788015610495,40001.74756960759,51944.68073086257,49879.322248966266
2023-12-31,48709.04514594868,57062.139646144926,47145.42053410485,45094.66036446267,49063.09322637746,70774.27009514942,56066.48013165676,52300.726461419996,48072.69798804378,45992.01604603609,56865.08857459199,38402.4366741047,53860.60581810103,44483.3075760323,54728.565401008826,51674.23791927734,40051.52085200142,42455.188862694165,43124.941081056015,56558.04753959029,48336.58163586179,45281.779560872,47102.880915772694,38944.729023766275,43816.28536014165,43981.26862480541,50773.603396409795,56513.82162559786,64567.96369471708,56065.18366236523,50171.2236506186,54431.393196259596,46104.53358367039,44932.84317573136,48707.95409206302,48471.2133759614,47872.83362558076,49060.04816673805,51923.40381202578,39927.440590046426,50073.567334410276,43653.409310725976,46710.12824757324,65343.69414550724,41352.54375783317,56180.256849247664,49446.44963826146,41006.05994030831,50518.910166994756,48659.303593187
2024-12-31,46932.21884527833,56302.869835705256,45722.269146955194,44499.72774472932,49404.21436116126,73673.26959719388,55664.41317283927,50779.54563884302,47448.193751374114,44773.904265367855,57425.658041705035,38644.048852607135,51706.215920376635,43586.92789339345,52587.04286326524,49574.70537224484,39709.81557771245,41787.5801950558,46745.1290021448,55803.418841047685,52060.79973972618,44271.447718216,47731.52936557894,40158.08611699659,42672.57293114033,44412.97506860676,50102.52825795849,54346.21030047005,66332.18196800223,56166.18280889759,50574.24492893344,57048.101931028046,45607.127860439876,43572.1539177607,47436.24140437063,46760.132958644856,47521.33988306715,50626.25307723184,57218.221356489994,39916.807820158116,47820.01843627265,42890.541979787595,45477.918431170816,64204.092178243205,43033.24847649284,54603.26904277005,48879.682997978525,42035.587292834185,49132.27396052774,47469.12587055076
2025-12-31,45220.20826196179,55553.70288240729,44342.07760294199,43912.64405476198,49747.707210016575,76691.01561688598,55265.22953822889,49302.60877331092,46831.80234294048,43588.05452576164,57991.7535377989,38887.18115456674,49638.0002451831,42708.6110882525,50529.31785878529,47560.4771682185,39371.02561080739,41130.46968665417,50669.21903313711,55058.85881526586,56071.959948633026,43283.658506220345,48368.56793645127,41409.246411651,41558.71419944584,44848.9190084933,49440.32272519441,52261.73861661353,68144.60473679396,56267.363901281795,50980.50364374985,59790.60506863174,45115.088473972144,42252.67004822975,46197.731777455134,45109.455324560004,47172.42689129816,52242.457894234445,63052.97062289329,39906.17788180104,45667.889966249924,42141.00617492705,44278.214220910006,63084.36500778667,44782.26261688646,53070.547508489275,48319.41276799176,43090.96269248143,47783.697956918004,46308.059189521315
2026-12-31,43570.64902463961,54814.50435746033,43003.54909826838,43333.30574384507,50093.58826276786,79832.37215487272,54868.908550775974,47868.62901732608,46223.41837037218,42433.61235777549,58563.42953782828,39131.843143968814,47652.51187855346,41847.99317696525,48552.11139962595,45628.08737810571,39035.12607892463,40483.6922537318,54922.72269288692,54324.23312045346,60392.17046606291,42317.90895133159,49014.10860533244,42699.387699531995,40473.92991039565,45289.14203840771,48786.869568465474,50257.217718226275,70006.54911327866,56368.72726728588,51390.025801126714,62664.94998896222,44628.35752873268,40973.14375539421,44991.55831484251,43517.04819740628,46826.07570178736,53910.25882692266,69482.71040446286,39895.55077422119,43612.617522279455,41404.5689203957,43110.15812124371,61984.166015265844,46602.36250078297,51580.849685843925,47765.56448494401,44172.835098734555,46472.13748487052,45175.3915112768
2027-12-31,41981.263010352406,54085.14162078549,41705.42597499945,42761.61062740488,50441.87412388847,83102.40244713663,54475.4296817112,46476.35695169956,45622.93781043293,41309.74592283648,59140.74105375549,39378.04444497129,45746.441780882065,41004.71751049363,46652.27280426929,43774.210894066884,38702.09232190473,39847.08540847656,59533.293102997945,53599.40920728147,65045.242879742,41373.70730239524,49668.26484364142,44029.724467575754,39417.461149783696,45733.68616056583,48142.05310754478,48329.58105940761,71919.36819766594,56470.27323526838,51802.83761602748,65677.47479075647,44146.877753801586,39732.36501465864,43816.87675380028,41980.854572285905,46482.26750517266,55631.30304224332,76568.11403898479,39884.92649666469,41649.84212211956,40681.00131182417,41972.915257295565,60903.15462688423,48496.437288888796,50132.96789312442,47218.0645389944,45281.86976431723,45196.57654708658,44070.428213042884
2028-12-31,40449.85519834038,53365.48379721505,40446.48853938889,42197.45786898589,50792.58151329766,86506.37712591559,54084.772549482266,45124.5794969386,45030.25799123457,40215.64541385573,59723.743639844615,39625.79474228332,43916.61327203806,40178.43462660675,44826.77467700676,41995.657707925515,38371.89988997983,39220.48921820025,64530.90476788176,52884.256294967265,70056.82340332761,40450.57278026042,50331.15163721896,45401.50904112119,38388.56881292451,46182.59378946423,47505.759191151985,46475.879712910726,73884.45206150516,56572.00213417934,52218.96551399813,68834.8222674754,43670.59249613493,38529.16044427847,42672.86487439468,40498.8900585509,46140.983630194736,57407.290291701465,84376.04194424774,39874.30504837791,39775.400958479724,39970.078445072824,40865.67277812829,59840.99620849374,50467.49356699692,48725.72834841858,46676.840164035,46418.748644261825,43956.02703322368,42992.49166210654
2029-12-31,38974.310638610994,52655.401753008504,39225.55391587601,41640.74796246518,51145.727267163435,90049.78271490362,53696.9169186982,43812.11885629666,44445.27757468193,39150.52247171811,60312.49339800724,39875.10378154618,42159.97673707076,39368.80210505999,43072.708083779464,40289.36742204725,38044.52454197879,38603.746265159316,69948.04844672234,52178.64534767757,75454.53422995197,39548.035332971456,51002.88550653961,46816.03276279832,37386.53308757627,46635.907755926906,46877.87517674517,44693.27785882992,75903.22875786912,56673.914293561276,52638.436132858966,72143.95455505235,43199.44571389877,37362.392195714296,41558.72192397679,39069.24031645041,45802.20554268313,59239.97459008263,92980.17253699947,39863.68642860737,37985.31857021403,39271.579346325474,39787.6392757537,58797.36196200647,52518.66011853251,47357.99021803966,46141.81942801995,47584.170815249636,42749.52795445829,41940.92080024921
