,Date,State,Average_Job_Created,Latitude,Longitude
0,2008-01,ALABAMA,2002,32.806671,-86.79113000000001
1,2008-02,ALABAMA,2012,32.806671,-86.79113000000001
2,2008-03,ALABAMA,2020,32.806671,-86.79113000000001
3,2008-04,ALABAMA,2025,32.806671,-86.79113000000001
4,2008-05,ALABAMA,2029,32.806671,-86.79113000000001
5,2008-06,ALABAMA,2028,32.806671,-86.79113000000001
6,2008-07,ALABAMA,2005,32.806671,-86.79113000000001
7,2008-08,ALABAMA,2007,32.806671,-86.79113000000001
8,2008-09,ALABAMA,2009,32.806671,-86.79113000000001
9,2008-10,ALABAMA,1999,32.806671,-86.79113000000001
10,2008-11,ALABAMA,1989,32.806671,-86.79113000000001
11,2008-12,ALABAMA,1983,32.806671,-86.79113000000001
12,2009-01,ALABAMA,1922,32.806671,-86.79113000000001
13,2009-02,ALABAMA,1918,32.806671,-86.79113000000001
14,2009-03,ALABAMA,1918,32.806671,-86.79113000000001
15,2009-04,ALABAMA,1918,32.806671,-86.79113000000001
16,2009-05,ALABAMA,1917,32.806671,-86.79113000000001
17,2009-06,ALABAMA,1912,32.806671,-86.79113000000001
18,2009-07,ALABAMA,1890,32.806671,-86.79113000000001
19,2009-08,ALABAMA,1888,32.806671,-86.79113000000001
20,2009-09,ALABAMA,1891,32.806671,-86.79113000000001
21,2009-10,ALABAMA,1888,32.806671,-86.79113000000001
22,2009-11,ALABAMA,1896,32.806671,-86.79113000000001
23,2009-12,ALABAMA,1896,32.806671,-86.79113000000001
24,2010-01,ALABAMA,1858,32.806671,-86.79113000000001
25,2010-02,ALABAMA,1864,32.806671,-86.79113000000001
26,2010-03,ALABAMA,1879,32.806671,-86.79113000000001
27,2010-04,ALABAMA,1891,32.806671,-86.79113000000001
28,2010-05,ALABAMA,1907,32.806671,-86.79113000000001
29,2010-06,ALABAMA,1907,32.806671,-86.79113000000001
30,2010-07,ALABAMA,1888,32.806671,-86.79113000000001
31,2010-08,ALABAMA,1886,32.806671,-86.79113000000001
32,2010-09,ALABAMA,1891,32.806671,-86.79113000000001
33,2010-10,ALABAMA,1897,32.806671,-86.79113000000001
34,2010-11,ALABAMA,1904,32.806671,-86.79113000000001
35,2010-12,ALABAMA,1903,32.806671,-86.79113000000001
36,2011-01,ALABAMA,1858,32.806671,-86.79113000000001
37,2011-02,ALABAMA,1873,32.806671,-86.79113000000001
38,2011-03,ALABAMA,1886,32.806671,-86.79113000000001
39,2011-04,ALABAMA,1894,32.806671,-86.79113000000001
