,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31
Alabama,53653.95123090416,52278.111406098884,50937.55202532618,49631.36839771367,48358.67903123468,47118.62503782386,45910.36955374753,44733.09717483648,43586.01340620284,42468.34412606616
Alaska,58463.51130187912,57612.590451985016,56774.05452863195,55947.72327250937,55133.41904793332,54330.96680466018,53540.194040255694,52760.93076301303,51993.00945540928,51236.26503809442
Arizona,50475.375979475255,49122.037177907994,47804.98390916351,46523.24329055269,45275.86852418258,44061.93819757469,42880.55560303434,41730.8480752701,40611.96634677096,39523.08392046938
Arkansas,45823.509029076034,44981.769450907486,44155.49192556856,43344.392428066676,42548.19215071074,41766.61740727394,40999.399538917154,40246.27482183889,39506.98437662477,38781.27407925767
California,49249.90206427054,50032.03080322269,50826.58038645382,51633.74806713311,52453.73423097189,53286.742445970296,54132.97951295451,54992.65551691755,55865.983879173626,56753.181410342695
Colorado,62881.04712792471,64226.27002638323,65600.27146351435,67003.6671025579,68437.08577772259,69901.1697759531,71396.57512472819,72923.97188601218,74484.04445649702,76077.49187426765
Connecticut,56249.039906961705,55535.25399239918,54830.52583833683,54134.74050411261,53447.78450763258,52769.5458068615,52099.91378154886,51438.77921518666,50786.03427719627,50141.572505341865
Delaware,55451.694956181695,53824.577676680805,52245.204846530505,50712.17550190858,49224.12978742773,47779.74774989357,46377.74816745563,45016.88741311353,43695.958351574365,42413.789268476496
Florida,49456.91711792403,48868.90935045971,48287.89257949778,47713.78368703422,47146.50054327888,46585.96199490706,46032.087853449884,45484.79888382223,44944.016792988,44409.66421876037
Georgia,48591.65191610884,47335.63152174758,46112.07734676436,44920.150188702304,43759.03253721365,42627.92801335109,41526.06082335365,40452.675226550615,39407.03501701952,38388.42301864285
Hawaii,58066.42542829647,59839.381003441384,61666.47064053777,63549.34722739899,65489.7141198428,67489.32668264465,69549.99387753742,71673.5798996999,73862.00586421334,76117.25154400922
Idaho,37587.61747883246,37656.36045030586,37725.22914393051,37794.22378963618,37863.344617773175,37932.59185911306,38001.96574484971,38071.46650659928,38141.09437640223,38210.84958672268
Illionis,59028.26189112537,56950.340000118675,54945.56543289874,53011.3632462017,51145.24914030882,49344.82626819982,47607.78215702946,45931.88573797494,44314.98448063851,42755.00162832661
Indiana,46305.15709289034,45359.04832555385,44432.27048928055,43524.42861373647,42635.13579863677,41764.013048858484,40910.689112921515,40074.80032477054,39255.99044878923,38453.91052798107
Iowa,59196.56770992578,56841.69457145833,54580.499626048324,52409.25630188555,50324.3862723067,48322.453558517656,46400.158866916536,44554.33415167691,42781.9373936381,41080.0475868919
Kansas,56137.31870196989,53853.490396912384,51662.57482526642,49560.792028612304,47544.51582815955,45610.26756854705,43754.710116162874,41974.64210163253,40266.992396535294,38628.814814827594
Kentucky,40761.17539535017,40422.1935043794,40086.03068624665,39752.66349671548,39422.068686518185,39094.22319973516,38769.10417218624,38446.68892983682,38126.95498721619,37809.88004584931
Louisiana,43581.11463926646,42777.33227929915,41988.37436995791,41213.96749850388,40453.843294849205,39707.73833855277,38975.394067533,38256.55668846263,37550.97708881731,36858.41075054528
Maine,33095.782169279635,34065.14888960661,35062.90810519686,36089.89142473938,37146.95481452169,38234.97931185815,39354.87175941332,40507.56556103373,41694.02145971858,42915.228338375084
Maryland,58375.30252704286,57733.73449992851,57099.21756318277,56471.674222489666,55851.02783522712,55237.20260110576,54630.12355291242,54029.71654735341,53435.90825599997,52848.6261563314
Massachusetts,41188.61518748181,44106.229748919955,47230.51488401964,50576.11019822506,54158.692300186456,57995.04825836181,62103.1542609478,66502.25984772791,71212.97810851662,76257.3822708575
Michigan,47465.77081325217,46452.638067177286,45461.13012448348,44490.78541473668,43541.152219489595,42611.78846199477,41702.261501408604,40812.1479313861,39941.03338297582,39088.51233172042
Minnesota,45729.73270029014,46268.74466977872,46814.10992160888,47365.90334130951,47924.20069707877,48489.0786501863,49060.61476550148,49638.887522143086,50223.97632425544,50815.961511912414
Mississippi,35312.29538341755,35753.023632930825,36199.252555448016,36651.05080416637,37108.487889134936,37571.6341879492,38040.560956577734,38515.34034032667,38996.04538493761,39482.75004782711
Missouri,46327.66752100573,45182.3665937616,44065.37950755773,42976.0062947476,41913.5642921085,40877.38771304598,39866.82723037456,38881.24956941136,37920.03711113105,36982.58750513009
Montana,42094.378927618185,41993.997803102306,41893.8560542565,41793.953110249146,41694.28840160998,41594.86136022675,41495.6714193418,41396.71801354925,41298.00057879133,41199.51855235559
Nebraska,52201.151983631935,51539.79059254102,50886.80830560793,50242.09896394961,49605.55775366083,48977.08118877418,48356.56709443512,47743.914590291286,47139.02407409234,46541.79720549626
Nevada,61355.41282387455,59119.396362649146,56964.86854903903,54888.85963760337,52888.508111327006,50961.056737378225,49103.84876661118,47314.32427157061,45590.01661795452,43928.54906466954
New Hampshire,60166.52410476208,61296.89321924425,62448.49896579021,63621.740324286664,64817.02377039304,66034.7634163649,67275.38115452812,68539.3068034431,69826.97825682002,71138.84163522765
New Jersey,56210.64763519801,56486.64379949206,56763.99511420537,57042.708233172285,57322.789842896535,57604.24666271381,57887.085444952056,58171.31297509314,58456.93607193566,58743.961587758444
New Mexico,46137.00550802907,44956.98397499153,43807.14322206967,42686.71133157991,41594.93612876454,40531.084676838065,39494.44278494703,38484.31452871578,37500.02178305485,36540.903766917625
New York,47888.56859122189,49340.8851678425,50837.246147976926,52378.987266210876,53967.48476595181,55604.156627939556,57290.46383601451,59027.9116812731,60818.05110577335,62662.4800869912
North Carolina,47242.97858802183,46796.2222893507,46353.69077066534,45915.34408005878,45481.14264343277,45051.04726092295,44625.01910336183,44203.01970877259,43785.010978895785,43370.955175751165
North Dakota,47889.352949804146,46490.778957042894,45133.04930843593,43814.97117438847,42535.38656103326,41293.17129287778,40087.234025164056,38916.51528506935,37779.9865409107,36676.64929853058
Ohio,51184.67254566226,49765.79864004743,48386.256883295064,47044.95696151044,45740.83878504093,44472.87165063896,43240.05342685249,42041.40976199343,40875.99331406497,39742.88300203413
Oklahoma,52749.12354006836,51211.419105247034,49718.54072193476,48269.18165338308,46862.073255890704,45495.98386834356,44169.717734124795,42882.11395445309,41632.04547223113,40418.418085518155
Oregon,48139.76453244754,47567.41577699649,47001.87185536729,46443.051862756845,45890.87585626476,45345.26484345666,44806.14077106419,44273.426513818515,43747.045863417334,43226.92351762341
Pennsylvania,45760.50608722684,47062.00510976797,48400.52076194266,49777.105853507805,51192.84313774512,52648.84616310229,54146.26014905311,55686.26288687057,57270.06566601984,58898.914226896835
Rhode Island,38226.95740152924,39830.46969522252,41501.24477546256,43242.104125110316,45055.987580219415,46945.95829461631,48915.20791273069,50967.06195941167,53104.98545583104,55332.5887709575
South Carolina,39830.28964324235,39760.70107931286,39691.234095423904,39621.88847915969,39552.66401847578,39483.56050169785,39414.577717521635,39345.71545501195,39276.97350360209,39208.35165309349
South Dakota,55858.25282155285,53805.7977940045,51828.75815142294,49924.362831731814,48089.94259272986,46322.926270821365,44620.837177218025,42981.2896265567,41401.98559307081,39880.71148962808
Tennessee,44868.074400063095,43911.966416612384,42976.232440476255,42060.438315491054,41164.159137064475,40286.97905502981,39428.49108070363,38588.29689805295,37766.00667888658,36961.23890198646
Texas,49625.77005396653,48488.22708110201,47376.75935127578,46290.76915669508,45229.67249047864,44192.89873259948,43179.89034302485,42190.102561891246,41223.00311655228,40278.071935341264
Utah,65619.81512605163,63484.45511635727,61418.58268998307,59419.93662436484,57486.329280264625,55615.644207266596,53805.83382719436,52054.91719291048,50360.97782005246,48722.161589322845
Vermont,38289.06002166895,39899.0887585174,41576.818100499855,43325.09481167124,45146.88536056455,47045.28095368114,49023.502780638504,51084.90747986949,53232.992834152916,55471.40370563795
Virginia,59756.89540988642,58218.44510610581,56719.60243791224,55259.347700741135,53836.68744247629,52450.653787577,51100.303778603185,49784.718734697635,48503.003626580525,47254.28646763561
Washington,51102.139208000444,50766.497504546096,50433.06031453964,50101.81315861371,49772.74165250195,49445.8315064151,49121.06852441972,48798.43860382243,48477.927734556484,48159.52199857478
West Virginia,38223.80218408885,38780.59863061307,39345.50578996914,39918.6418088571,40500.12655498989,41090.08164216286,41688.63045568913,42295.898178204014,42912.01181584654,43537.100224822294
Wisconsin,53142.767089587054,51554.46684808523,50013.636804228714,48518.85819624545,47068.75466549421,45661.99098914342,44297.27185072799,42973.34064745091,41688.978333131905,40443.00229573677
Wyoming,51374.335615377306,50237.40144891069,49125.62808079609,48038.45869271245,46975.34878894588,45935.765923686406,44919.18943435825,43925.11018085225,42953.03029052912,42002.4629088662
