State,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31
Alabama,2.9159074644338228,2.560998897934004,2.249287892437518,1.9755166732587888,1.7350674137556552,1.5238843442969876,1.3384053417076578,1.175501845278151,1.0324260858741847,0.90676473803516
Alaska,6.181988812290581,6.046991404317397,5.91494196352966,5.785776114539307,5.659430887737355,5.5358446885955725,5.414957267638619,5.296709691071754,5.181044312050108,5.067904742575236
Arizona,4.510437110677613,4.15184549579139,3.821762857554525,3.5179226573312734,3.2382385522695034,2.980790069261904,2.743809417864936,2.525669351625456,2.3248719944637823,2.140038555388677
Arkansas,3.285058733219364,3.0144164471231294,2.766071250050814,2.5381861778453683,2.329075606164131,2.1371927822228085,1.961118383747044,1.7995500205042627,1.6512926007605038,1.5152494914046934
California,3.646689806397693,3.2356074316508168,2.870865362166824,2.5472397692832054,2.2600956936972945,2.0053206636713474,1.7792657962941518,1.578693538252545,1.4007312976572914,1.2428303028391874
Colorado,2.7435904244306752,2.47608171612753,2.234655949498476,2.0167699555727165,1.8201285323647327,1.6426602673121509,1.4824957171020905,1.3379477150331516,1.2074935984716624,1.089759169186905
Connecticut,3.3728997058935763,3.0581861360260656,2.772837397518848,2.514113559833881,2.279530345845899,2.0668352777094383,1.873986048472211,1.6991309117582205,1.5405909012214998,1.3968437090409442
Delaware,3.1282597856544663,2.8365244308820063,2.5719957414940864,2.3321364773885467,2.11464601648477,1.9174382881923808,1.7386217647612638,1.576481318598916,1.4294617715386992,1.2961529782709869
Florida,2.897206668358143,2.528254963608098,2.2062882951430565,1.9253232412677617,1.6801383534174306,1.4661771208690484,1.279463292643356,1.1165269829415043,0.974340186861424,0.8502605080193477
Georgia,3.2069835286455897,2.841089324034288,2.516941067842212,2.2297758417518283,1.975374142837008,1.7499978836990846,1.5503354663501692,1.3734531227790268,1.2167518072152457,1.0779290066820568
Hawaii,2.458298773700249,2.2217767870500533,2.00801145258854,1.8148132689244347,1.6402033946661307,1.4823933800465945,1.33976684864335,1.2108629415677183,1.0943613545496311,0.9890688146596698
Idaho,2.5425422759200007,2.2524464198050365,1.9954495632748976,1.767775217453843,1.5660777786411382,1.3873933657052198,1.2290962667722871,1.0888603552069642,0.9646249079048704,0.8545643236075162
Illinois,3.7104990384325465,3.3336085022297475,2.995000276521554,2.690785870735699,2.4174717641628805,2.1719192872552555,1.9513085779452104,1.7531061990680101,1.5750360450150085,1.4150532035168988
Indiana,3.0158084754639147,2.675029635494113,2.372757954953025,2.1046422208152222,1.866822896280513,1.6558765625861376,1.4687666387556837,1.30279966989354,1.1555865547930977,1.0250081547285792
Iowa,2.2474402634009647,2.036688603853144,1.8456999888344587,1.6726211568811593,1.5157726344318605,1.3736324390256098,1.2448213107176709,1.1280893284058295,1.022303781198475,0.9264381771340742
Kansas,3.0709234950802617,2.840533467661436,2.6274280013263005,2.4303103556941865,2.247981075794621,2.07933069341973,1.9233329760434288,1.7790386822272313,1.6455697855145268,1.5221141316658873
Kentucky,3.833508207442174,3.4906853150894364,3.1785203812335467,2.894271726598823,2.635442854746893,2.3997605258710344,2.185154791406738,1.9897408141067283,1.8118023139099324,1.6497764942129332
Louisiana,4.291589170443704,4.038977545585456,3.8012351522587418,3.577486757399901,3.3669086459349087,3.1687255883262124,2.982207986615926,2.806669188458689,2.6414629592559926,2.48598110308579
Maine,2.8074247101599985,2.5261645843644045,2.2730823320755404,2.0453549702874927,1.8404423348184853,1.6560587462801215,1.4901475146741674,1.3408579982306943,1.2065249605924755,1.0856499960872208
Maryland,3.4283346049491423,3.1595371407236024,2.911814654614192,2.683514769788137,2.4731146634830083,2.2792109093618147,2.100510116274923,1.9358203009868449,1.7840429373215776,1.6441656286921176
