,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31
Alabama,25884.345260832022,25407.634796433627,24939.70388062249,24480.39082096868,24029.5369029219,23586.986334968948,23152.58619479946,22726.186376464204,22307.639538506366,21896.801053048395
Alaska,25884.936260592898,25408.795040385212,24941.412213835436,24482.62667441417,24032.280279070972,23590.2177937223,23156.286839742243,22730.337841438497,22312.223974492885,21901.8011153515
Arizona,25884.68016270395,25408.292268694735,24940.671932334655,24481.65779337918,24031.09146129658,23588.817460612372,23154.68317726043,22728.538805920616,22310.237298326214,21899.634312521852
Arkansas,25888.883807103874,25416.545497827938,24952.82492116934,24497.564848052963,24050.610918021757,23611.811586899064,23181.018075406013,22758.084318716792,22342.866916933293,21935.225086464576
California,25883.659330292467,25406.28821868159,24937.721240029423,24477.796020125807,24026.353179420774,23583.23627779349,23148.291760341428,22721.368904167317,22302.319766149623,21890.99913167478
Colorado,25883.453730889858,25405.88460519961,24937.126987903248,24477.018300065185,24025.398962452757,23582.112340190073,23147.004688431978,22719.925099041197,22300.72544824857,21889.260345279396
Connecticut,25886.651115998913,25412.16177479883,24946.369585420427,24489.115133429616,24040.2419263792,23599.596340249704,23167.027566873257,22742.387562319745,22325.530996230653,21916.3152020797
Delaware,25888.884136105666,25416.54614382666,24952.82587248822,24497.566093336045,24050.612446225583,23611.813387285536,23181.020137534495,22758.086632436934,22342.86947237842,21935.227874043987
Florida,25884.837730581898,25408.601605557677,24941.12739935008,24482.253907847964,24031.822892815773,23589.679027327278,23155.669842202416,22729.645673429626,22311.45961055549,21900.96744602435
Georgia,25885.255025745464,25409.420847473953,24942.333663001933,24483.83268123032,24033.76006679295,23591.960885722907,23158.283052118102,22732.577275786123,22314.697010853033,21904.49840531557
Hawaii,25887.457661334854,25413.745322996077,24948.70140557484,24492.167286390137,24043.987245383232,23604.008412003575,23172.08071306547,22748.05682155917,22331.792106399338,21923.144583092402
Idaho,25888.155998010516,25415.116457236352,24950.720498768933,24494.810183348043,24047.23045764756,23607.829101542975,23176.456676341073,22752.966473956913,22337.214467019247,21929.059259886562
Illinois,25885.769347416815,25410.43059187185,24943.82045201879,24485.778644836344,24036.147830570255,23594.77355868614,23161.504214815162,22736.190968673734,22318.687722939292,21908.851063065023
Indiana,25882.77282318495,25404.547933887032,24935.159000702108,24474.44276545954,24022.23898644043,23578.390382642847,23142.742579079164,22715.14405308137,22295.44608160128,21883.502689482677
Iowa,25881.549341179045,25402.14623814507,24931.62310331424,24469.81545332215,24016.56185152455,23571.703851562797,23135.085941975005,22706.55549183319,22285.962697387244,21873.16052969671
Kansas,25884.268729292962,25407.484552531503,24939.48266564599,24480.101300232294,24029.18166763478,23586.567904059993,23152.10701670098,22725.648830854712,22307.04593801249,21896.153644907103
Kentucky,25887.370170816852,25413.573544212915,24948.448452875044,24491.836188362482,24043.580946952752,23603.52977647935,23171.532524141752,22747.441785270268,22331.11285302985,21922.4036690431
Louisiana,25892.031510638073,25422.726421989984,24961.92770589658,24509.48118040733,24065.235458191037,23629.041895882026,23200.75454434444,22780.230099838613,22367.32785607145,21961.909657116958
Maine,25889.04925103066,25416.870349726694,24953.303310244137,24498.191064650044,24051.379409703597,23612.716954609114,23182.055069720278,22759.247836181068,22344.151996484725,21936.626905935205
Maryland,25887.688549281265,25414.198650913575,24949.36895731567,24493.041071979253,24045.059495493257,23605.27157255462,23173.5274399507,22749.67997548974,22333.584747868743,21925.09996745557
Massachussets,25889.97329417672,25418.6847619713,24955.97533790419,24501.688852046733,24055.671977311973,23617.77417770499,23187.847657515376,22765.74731143392,22351.330675578454,21944.457879409954
Michigan,25889.20298549671,25417.172211765464,24953.747846330025,24498.77297089647,24052.093528219204,23613.55826993627,23183.01870535585,22760.329051176486,22345.34618212392,21937.929582487806
Minnesota,25884.37027165405,25407.683896855782,24939.77617487146,24480.485438094383,24029.65299618784,23587.123081254693,23152.74279401876,22726.362050995558,22307.833532636905,21897.012632430597
Mississipi,25881.695665031973,25402.433465958755,24932.045965762805,24470.36882792802,24017.24075902614,23572.503452366862,23136.001532691454,22707.582501889683,22287.096685722947,21874.397181533004
Missouri,25888.185709996505,25415.17479542168,24950.806407125503,24494.922634881972,24047.368453690542,23607.99167106,23176.642875254245,22753.17538448428,22337.445197028985,21929.31094226613
Montana,25887.068613723088,25412.98147180914,24947.576603716203,24490.695005176778,24042.180583874808,23601.8801061162,23169.643144478367,22745.322026415946,22328.771783809385,21919.850103437002
Nebraska,25887.29274541146,25413.421527744937,24948.224601868595,24491.5431834224,24043.22139462039,23603.106211045746,23171.047409419043,22746.897516323013,22330.511757865905,21921.748010266398
Nevada,25887.14139458718,25413.124367969205,24947.787022823257,24490.970426313103,24042.518555806604,23602.27824558794,23170.09913454401,22745.833614810235,22329.336781355636,21920.46638249199
New Hampshire,25888.554844588656,25415.899580632376,24951.87372839444,24496.319738065748,24049.082936272098,23610.011473558705,23178.956272832635,22755.770978746747,22340.31190800847,21932.438000595288
New Jersey,25884.905218866323,25408.73409896442,24941.32248324114,24482.509234428286,24032.13617949166,23590.048055101557,23156.092454107024,22730.119772994476,22311.983160312444,21901.53846604567
New Mexico,25885.81499179583,25410.520204379263,24943.95240257304,24485.95134839453,24036.35974602402,23595.023187782575,23161.79010110253,22736.511696471276,22319.04191633132,21909.237384918186
New York,25883.08411227923,25405.159012640244,24936.058688282053,24475.620191791295,24023.68358454061,23580.091881131895,23144.690994865825,22717.329684217708,22297.8595003028,21886.1347353099
