,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31,2026-12-31,2027-12-31,2028-12-31,2029-12-31
Alaska,1169.1828046752848,1139.1570256236507,1109.9023384868444,1081.3989408564262,1053.627538869499,1026.569334148798,1000.2060110781116,974.5197244044859,949.4930871588534,925.1091588868219
Alabama,736.1090153375727,725.376817217204,714.8010905896363,704.379554158182,694.109959886614,683.9900925142391,674.0177690780657,664.1908384418787,654.5071808322489,644.9647073812566
Arkansas,690.6454084669238,672.7659805873673,655.3494153249833,638.3837300926419,621.8572525084224,605.7586123650198,590.0767338070459,574.8008277108521,559.9203842616174,545.4251657225989
Arizona,953.6318250808941,935.6107590608235,917.9302425190324,900.5838399900997,883.5652376215273,866.868240875573,850.4867722745284,834.4148691886052,818.6466816656053,803.176470301639
California,1378.1321957805917,1398.5628490773374,1419.2963844890323,1440.337292208634,1461.6901289956977,1483.3595191632191,1505.3501555791174,1527.6668006825535,1550.3142875152794,1573.2975207683774
Colorado,1146.3688169839293,1168.1435240472347,1190.3318308706396,1212.9415935764373,1235.980817510066,1259.4576600745295,1283.3804336186608,1307.7576083802248,1332.5978154849556,1357.9098500025452
Connecticut,1107.2409286825946,1091.7030045858417,1076.3831243483567,1061.2782281582843,1046.38529914212,1031.7013627621861,1017.2234862225298,1002.9487778831567,988.8743866824826,974.9975015678928
Delaware,1043.7980349282445,1012.5597934201395,982.2564336610579,952.8599769991065,924.3432821128582,896.6800199521614,869.8446494288906,843.8123938352471,818.5592179677768,794.0618059360296
Florida,1064.1628838432023,1051.4787774832762,1038.9458571462724,1026.5623207964065,1014.3263878769549,1002.2362990542244,990.2903159646122,978.4867209646255,966.8238168839365,955.2999267813462
Georgia,903.0677972788181,879.7534482006656,857.0410017422,834.9149186849633,813.3600609838766,792.3616814102206,771.9054134619915,751.9772615347554,732.5635913462263,713.6511206080886
Hawaii,1558.9781965543013,1612.7491820382959,1668.3747918437202,1725.918994137481,1785.4479634235392,1847.03015664206,1910.7363918933208,1976.639929876918,2044.8165581398432,2115.3446782304036
Iowa,741.5935591464308,743.1905499560373,744.790979818768,746.3948561404809,748.0021863429762,749.612977864048,751.2272381575042,752.844974693196,754.4661949570641,756.0909064511794
Indiana,755.5560800476479,730.0063811981727,705.3206646903611,681.4697143095281,658.4253018093317,636.1601535028789,614.6479179835629,593.8631349374808,573.7812050104513,554.378360694008
Illinois,932.5805912332464,913.5573100262072,894.9220759555672,876.6669734268198,858.7842483120168,841.2663046561161,824.1057014504304,807.2951494719888,790.8275081873112,774.6957827193727
Idaho,760.3576712993764,729.9795306866299,700.8150707690622,672.8158020473106,645.9351722955994,620.1284891629349,595.3528458665791,571.5670498542539,548.7315543164547,526.8083924350342
Kansas,769.4247861416155,739.0942590874834,709.9593536040991,681.9729385968502,655.0897408667311,629.2662718726018,604.4607573804132,580.6330698856759,557.7446636997961,535.7585125953108
Kentucky,706.7105090539786,700.4764987480139,694.297479678198,688.1729667577459,682.1024791788951,676.0855403751717,670.1216779839717,664.210423809477,658.3513137859107,652.5438879410877
Louisiana,810.4659905715171,796.1880265128173,782.1615970774451,768.3822709846969,754.8456950196443,741.5475926578728,728.4837627144102,715.6500780164916,703.0424840996651,690.6569979269063
Maine,831.956632266369,856.6235618465338,882.0218485567657,908.173176622086,935.0998731895547,962.8249273904586,991.3720099676702,1020.7654934849577,1051.0304731354768,1082.1927881672202
Maryland,1296.8730545457595,1282.8983368473387,1269.0742065437767,1255.3990409501669,1241.8712348671706,1228.4892003926095,1215.2513667350438,1202.1561800294353,1189.2021031547213,1176.387615553403
Massachusetts,1260.3558959435086,1354.2173780388368,1455.06893162864,1563.431122747117,1679.8632851286488,1804.9664073238787,1939.3862348257449,2083.816603217647,2239.0030195484387,2405.7465104204502
Michigan,806.4543449043955,789.2822941931761,772.4758926070334,756.0273542801463,739.929059133251,724.173549343487,708.7535258894344,693.6618451697145,678.8915156935853,664.4356948420152
Minnesota,916.6832422104072,927.4924575600263,938.429131481039,949.4947669213425,960.6908845510789,972.0190229716003,983.4807389269309,995.0776075176888,1006.8112224175395,1018.6831960922027
Mississippi,748.968323825456,758.0453379647496,767.2323596745374,776.530722175791,785.94177484726,795.4668834212947,805.1074301820355,814.8648141660275,824.7404513652308,834.7357749325257
Missouri,765.0394949528193,746.5375367827363,728.4830358464106,710.8651706959593,693.6733815928403,676.8973641785732,660.5270632985594,644.5526669752533,628.9646005270932,613.7535208296533
Montana,749.5005763952083,748.004146493676,746.5107043182655,745.0202439037747,743.5327592969079,742.0482445562652,740.5666937522965,739.0881009673,737.6124602953877,736.1397658424531
Nebraska,763.7633180591591,754.6370064847799,745.6197464463695,736.7102348723187,727.9071842616033,719.2093224977194,710.6153926648582,702.1241528662656,693.7343760447808,685.4448498055117
Nevada,979.9144842647446,944.1813141316027,909.7511755060796,876.5765525617389,844.611662165294,813.8123906929105,784.1362331505441,755.5422345142712,727.9909332097217,701.4443066525238
New Hampshire,1070.743112792791,1089.8201650125425,1109.2371063401963,1128.9999924600518,1149.1149869483995,1169.5883631957963,1190.4265063635894,1211.6359153752833,1233.2232049434126,1255.1951076325213
New Jersey,1255.6946297374786,1262.4251426353396,1269.1917310270355,1275.9945882769123,1282.833908785752,1289.7098879963269,1296.6227223989613,1303.5726095371979,1310.5597480133922,1317.5843374944045
New Mexico,790.4798361823165,772.3836482210409,754.7017301800608,737.4245983179826,720.5429860014947,704.0478387352019,687.930309305214,672.1817530339159,656.7937231433814,641.7579662249142
New York,1231.63963751555,1270.4658263814365,1310.5159714240574,1351.8286566189756,1394.443682262416,1438.4021033145182,1483.746268951337,1530.519863363718,1578.7679478422415,1628.5370041889346
North Carolina,835.7664970324307,827.6133146467503,819.5396692887531,811.5447850480715,803.6278935836,795.788234049661,788.0250530228743,780.3376044297643,772.7251494750474,765.1869565706372
North Dakota,751.6837703600642,729.0690201583477,707.1346450649578,685.8601756834203,665.225758448418,645.2121370982395,625.8006347046147,606.9731362432035,588.7120716884659,571.0003996171163
Ohio,742.1195663118084,720.8657731712415,700.2206740246937,680.1668362955064,660.6873266639985,641.7656967690989,623.3859693194776,605.532624602404,588.190587379041,571.3452141549991
Oklahoma,743.5628414800426,721.7828971669338,700.6409163826935,680.1182123272757,660.1966455618713,640.8586079759463,622.0870072239398,603.865251617813,586.1772354621437,569.0073248187282
Oregon,976.4694088085009,965.0733869826144,953.8103640118783,942.6787877146792,931.6771240243615,920.8038567778068,910.0574875064941,899.4365352299748,888.939536251799,878.5650439577902
Pennsylvania,909.4733179113795,934.6234079013949,960.4689850640946,987.0292820307607,1014.3240632815873,1042.3736398531669,1071.1988844526834,1100.821246989998,1131.262770539365,1162.5461077424352
Rhode Island,1000.6268238071688,1046.2424665856074,1093.937592760438,1143.806999882074,1195.9498070432712,1250.4696518855847,1307.4748965867614,1367.078843238485,1429.399959042535,1494.562111773077
South Carolina,834.4292826812001,832.8615165022292,831.2966959183428,829.7348153952114,828.1758694089076,826.6198524458775,825.0667590029366,823.5165835872307,821.9693207162314,820.424964917704
