,State,Year,Confortability Income Threshold,Poverty Income Threshold,Rent Per State,Mean Income per State,Unemployment Rate,Latitude,Longitude
0,Alabama,12/31/2020,55066,25884,1169,53654,2.92,32.806671,-86.79113
1,Alaska,12/31/2020,59327,25885,736,58464,6.18,61.370716,-152.404419
2,Arizona,12/31/2020,51866,25885,691,50475,4.51,33.729759,-111.431221
3,Arkansas,12/31/2020,46681,25889,954,45824,3.29,34.969704,-92.373123
4,California,12/31/2020,48480,25884,1378,49250,3.65,36.116203,-119.681564
5,Colorado,12/31/2020,61564,25883,1146,62881,2.74,39.059811,-105.311104
6,Connecticut,12/31/2020,56972,25887,1107,56249,3.37,41.597782,-72.755371
7,Delaware,12/31/2020,57128,25889,1044,55452,3.13,39.318523,-75.507141
8,Florida,12/31/2020,50052,25885,1064,49457,2.90,27.766279,-81.686783
9,Georgia,12/31/2020,49881,25885,903,48592,3.21,33.040619,-83.643074
10,Hawaii,12/31/2020,56346,25887,1559,58066,2.46,21.094318,-157.498337
11,Idaho,12/31/2020,37519,25888,742,37588,2.54,44.240459,-114.478828
12,Illinois,12/31/2020,61182,25886,756,59028,3.71,40.349457,-88.986137
13,Indiana,12/31/2020,47271,25883,933,46305,3.02,39.849426,-86.258278
14,Iowa,12/31/2020,61649,25882,760,59197,2.25,42.011539,-93.210526
15,Kansas,12/31/2020,58518,25884,769,56137,3.07,38.5266,-96.726486
16,Kentucky,12/31/2020,41103,25887,707,40761,3.83,37.66814,-84.670067
17,Louisiana,12/31/2020,44400,25892,810,43581,4.29,31.169546,-91.867805
18,Maine,12/31/2020,32154,25889,832,33096,2.81,44.693947,-69.381927
19,Maryland,12/31/2020,59024,25888,1297,58375,3.43,39.063946,-76.802101
20,Massachusetts,12/31/2020,38464,25890,1260,41189,2.63,42.230171,-71.530106
21,Michigan,12/31/2020,48501,25889,806,47466,3.64,43.326618,-84.536095
22,Minnesota,12/31/2020,45197,25884,917,45730,2.95,45.694454,-93.900192
23,Mississippi,12/31/2020,34877,25882,749,35312,4.79,32.741646,-89.678696
24,Missouri,12/31/2020,47502,25888,765,46328,2.85,38.456085,-92.288368
25,Montana,12/31/2020,42195,25887,750,42094,3.23,46.921925,-110.454353
26,Nebraska,12/31/2020,52871,25887,764,52201,2.85,41.12537,-98.268082
27,Nevada,12/31/2020,63676,25887,980,61355,3.58,38.313515,-117.055374
28,New Hampshire,12/31/2020,59057,25889,1071,60167,2.25,43.452492,-71.563896
29,New Jersey,12/31/2020,55936,25885,1256,56211,3.23,40.298904,-74.521011
30,New Mexico,12/31/2020,47348,25886,790,46137,4.69,34.840515,-106.248482
31,New York,12/31/2020,46479,25883,1232,47889,3.63,42.165726,-74.948051
32,North Carolina,12/31/2020,47694,25888,836,47243,3.59,35.630066,-79.806419
33,North Dakota,12/31/2020,49330,25887,752,47889,2.28,47.528912,-99.784012
34,Ohio,12/31/2020,52644,25887,742,51185,3.84,40.388783,-82.764915
35,Oklahoma,12/31/2020,54333,25889,744,52749,3.01,35.565342,-96.928917
36,Oregon,12/31/2020,48719,25888,976,48140,3.70,44.572021,-122.070938
37,Pennsylvania,12/31/2020,44495,25886,909,45761,3.70,40.590752,-77.209755
38,Rhode Island,12/31/2020,36688,25884,1001,38227,3.23,41.680893,-71.51178
39,South Carolina,12/31/2020,39900,25885,834,39830,2.67,33.856892,-80.945007
40,South Dakota,12/31/2020,57989,25887,672,55858,2.77,44.299782,-99.438828
41,Tennessee,12/31/2020,45845,25886,791,44868,2.97,35.747845,-86.692345
42,Texas,12/31/2020,50790,25885,930,49626,3.24,31.054487,-97.563461
43,Utah,12/31/2020,67827,25886,916,65620,2.47,40.150032,-111.862434
44,Vermont,12/31/2020,36744,25885,985,38289,1.99,44.045876,-72.710686
45,Virginia,12/31/2020,61336,25888,1136,59757,2.53,37.769337,-78.169968
46,Washington,12/31/2020,51440,25885,1112,51102,4.18,47.400902,-121.490494
47,West Virginia,12/31/2020,37675,25890,691,38224,4.59,38.491226,-80.954453
48,Wisconsin,12/31/2020,54780,25884,788,53143,2.72,44.268543,-89.616508
49,Wyoming,12/31/2020,52537,25889,808,51374,3.50,42.755966,-107.30249
