State,Inbound-2019,Outbound-2019,Ranking-2019
Vermont,25.70%,74.30%,1
Idaho,32.60%,67.40%,2
Oregon,34.30%,65.70%,3
Arizona,36.80%,63.20%,4
South Carolina,38.20%,61.80%,5
Washington,40.50%,59.50%,6
District of Columbia,40.70%,59.30%,7
Florida,41.90%,58.10%,8
South Dakota,42.60%,57.40%,9
North Carolina,42.70%,57.30%,10
New Mexico,43.90%,56.10%,11
Tennessee,43.90%,56.10%,12
Nevada,44.20%,55.80%,13
Texas,44.40%,55.60%,14
Alabama,44.50%,55.50%,15
Delaware,44.60%,55.40%,16
Wyoming,44.70%,55.30%,17
Colorado,46.60%,53.40%,18
Rhode Island,47.10%,52.90%,19
New Hampshire,47.20%,52.80%,20
Arkansas,47.60%,52.40%,21
Georgia,48.80%,51.20%,22
West Virginia,48.90%,51.10%,23
Nebraska,49.00%,51.00%,24
Maine,49.80%,50.20%,25
Oklahoma,49.80%,50.20%,26
Missouri,51.10%,48.90%,27
Pennsylvania,51.20%,48.80%,28
Utah,51.40%,48.60%,29
Maryland,51.60%,48.40%,30
Minnesota,51.90%,48.10%,31
Mississippi,52.00%,48.00%,32
Indiana,52.10%,47.90%,33
Kentucky,52.40%,47.60%,34
Wisconsin,52.60%,47.40%,35
Virginia,52.90%,47.10%,36
Montana,53.90%,46.10%,37
Louisiana,54.70%,45.30%,38
Massachusetts,54.80%,45.20%,39
Iowa,55.00%,45.00%,40
North Dakota,55.20%,44.80%,41
Michigan,56.90%,43.10%,42
California,56.90%,43.10%,43
Ohio,57.80%,42.20%,44
Kansas,58.50%,41.50%,45
Connecticut,63.00%,37.00%,46
New York,63.10%,36.90%,47
Illinois,66.50%,33.50%,48
New Jersey,68.50%,31.50%,49
